epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
200,2164.59,0.93387,0.25324,0.01592,0.45086,0.85334,0.96776,0.96866,0.98689,0.73735,0.9688,0.96765,0.98762,0.96693,0.96537,0.16769,0.00139,0.44441,0.82155,0.003433,0.003433,0.003433
201,2178.92,0.93111,0.26722,0.0176,0.45429,0.85275,0.98276,0.97997,0.98962,0.74547,0.98136,0.97729,0.98885,0.9711,0.92102,0.1556,0.00152,0.42107,0.81785,0.0034,0.0034,0.0034
202,2190.76,0.9344,0.26415,0.01708,0.45611,0.85065,0.97926,0.97779,0.99029,0.74773,0.97762,0.97612,0.98941,0.97135,0.92304,0.15425,0.00154,0.43277,0.81615,0.003367,0.003367,0.003367
203,2200.13,0.93028,0.25245,0.01572,0.44869,0.84736,0.98167,0.9748,0.991,0.74711,0.98085,0.97396,0.99058,0.97222,0.92342,0.15448,0.00152,0.43647,0.81901,0.003334,0.003334,0.003334
204,2207.05,0.91996,0.24401,0.01497,0.44652,0.84838,0.98092,0.97653,0.99022,0.74168,0.98078,0.97455,0.98928,0.97131,0.9437,0.16472,0.00155,0.43214,0.81967,0.003301,0.003301,0.003301
205,2220.42,0.92559,0.25245,0.01743,0.44774,0.85069,0.9819,0.98498,0.99121,0.74013,0.97922,0.98186,0.99,0.97111,0.95985,0.16505,0.00157,0.4416,0.82053,0.003268,0.003268,0.003268
206,2232.54,0.93174,0.25336,0.01731,0.45025,0.85163,0.97189,0.97872,0.98853,0.74009,0.97059,0.97755,0.98914,0.97067,0.97135,0.16615,0.00152,0.44919,0.82166,0.003235,0.003235,0.003235
207,2244.91,0.92296,0.24547,0.01619,0.449,0.84934,0.98079,0.97208,0.98933,0.74813,0.97912,0.97041,0.99039,0.97246,0.9494,0.15753,0.0014,0.44839,0.81752,0.003202,0.003202,0.003202
208,2254.84,0.93,0.2654,0.01667,0.44711,0.85096,0.98053,0.97975,0.99017,0.74703,0.98043,0.97829,0.99158,0.97277,0.94122,0.15537,0.00137,0.43993,0.81623,0.003169,0.003169,0.003169
209,2267.39,0.92767,0.24734,0.01753,0.44976,0.84943,0.97645,0.97924,0.98903,0.74899,0.97529,0.97699,0.98829,0.97244,0.92454,0.15053,0.00136,0.43566,0.81538,0.003136,0.003136,0.003136
210,2276.75,0.92679,0.25583,0.01689,0.452,0.85021,0.97293,0.98224,0.98901,0.75144,0.97172,0.98099,0.9902,0.97298,0.90614,0.14936,0.00136,0.43605,0.81483,0.003103,0.003103,0.003103
211,2288.24,0.92688,0.25543,0.01632,0.44965,0.85221,0.97396,0.98112,0.9898,0.74714,0.97273,0.97987,0.98954,0.97218,0.9377,0.15363,0.00135,0.46307,0.81816,0.00307,0.00307,0.00307
212,2298.01,0.92056,0.25558,0.01696,0.44725,0.8504,0.97435,0.97781,0.98768,0.7447,0.97511,0.97722,0.98871,0.9684,0.92779,0.1554,0.00134,0.45988,0.81901,0.003037,0.003037,0.003037
213,2305.08,0.92254,0.25485,0.0172,0.44771,0.85117,0.97554,0.97433,0.98711,0.74918,0.97523,0.97452,0.98849,0.97055,0.91836,0.15351,0.00133,0.46696,0.8165,0.003004,0.003004,0.003004
214,2317.17,0.91776,0.24403,0.01662,0.4419,0.8483,0.96093,0.96541,0.98147,0.74064,0.95973,0.96416,0.98122,0.96311,0.91335,0.15178,0.0013,0.45521,0.81599,0.002971,0.002971,0.002971
215,2326,0.93281,0.26076,0.0156,0.44596,0.85073,0.97151,0.97275,0.98618,0.74223,0.96904,0.97024,0.98456,0.96652,0.92724,0.15217,0.00117,0.4353,0.81708,0.002938,0.002938,0.002938
216,2337.09,0.91588,0.23926,0.01696,0.44078,0.84834,0.9724,0.97716,0.9848,0.74401,0.97073,0.9756,0.98427,0.96582,0.92276,0.15349,0.0012,0.43005,0.81665,0.002905,0.002905,0.002905
217,2347.97,0.92021,0.24628,0.01549,0.44175,0.84591,0.97549,0.96866,0.98522,0.73746,0.9746,0.96786,0.98604,0.96595,0.92983,0.15763,0.00139,0.46235,0.81778,0.002872,0.002872,0.002872
218,2360.2,0.91485,0.2473,0.01618,0.44023,0.84557,0.97183,0.97808,0.98731,0.74694,0.97141,0.97766,0.98883,0.97128,0.90466,0.15347,0.00124,0.46011,0.81718,0.002839,0.002839,0.002839
219,2370.22,0.915,0.22965,0.01567,0.4384,0.84685,0.97719,0.97441,0.98721,0.74914,0.97596,0.97316,0.9882,0.97192,0.91426,0.15196,0.00125,0.46616,0.81556,0.002806,0.002806,0.002806
220,2382.65,0.92045,0.24685,0.01593,0.44225,0.84811,0.97485,0.97724,0.98776,0.74298,0.97367,0.97508,0.98871,0.97211,0.94962,0.15809,0.00122,0.49102,0.81828,0.002773,0.002773,0.002773
221,2390.35,0.91463,0.25356,0.01625,0.44558,0.85198,0.97178,0.97639,0.98802,0.74514,0.9756,0.97165,0.99009,0.97108,0.92471,0.15167,0.00116,0.47134,0.81694,0.00274,0.00274,0.00274
222,2396.77,0.90963,0.24028,0.01576,0.43864,0.84738,0.97227,0.97773,0.98797,0.74933,0.97148,0.97689,0.989,0.96972,0.90448,0.15071,0.0011,0.45479,0.81556,0.002707,0.002707,0.002707
223,2408.74,0.92005,0.24853,0.01754,0.44118,0.84971,0.97511,0.97934,0.98906,0.74723,0.97891,0.97225,0.98895,0.97083,0.90823,0.1492,0.00107,0.42905,0.81493,0.002674,0.002674,0.002674
224,2418.72,0.9168,0.25325,0.01614,0.44046,0.84917,0.97379,0.97671,0.98779,0.74502,0.97261,0.97546,0.98845,0.97041,0.91858,0.15435,0.00108,0.45106,0.81565,0.002641,0.002641,0.002641
225,2429.68,0.91431,0.24539,0.01446,0.43649,0.84764,0.97481,0.96914,0.98626,0.74693,0.9729,0.96682,0.98587,0.96867,0.92904,0.15648,0.00111,0.46353,0.81688,0.002608,0.002608,0.002608
226,2439.25,0.90203,0.2417,0.01612,0.43458,0.84639,0.96331,0.9738,0.98612,0.74108,0.96209,0.97195,0.98547,0.96695,0.961,0.1649,0.0011,0.49219,0.81996,0.002575,0.002575,0.002575
227,2450.39,0.9144,0.24526,0.01647,0.43929,0.85017,0.96733,0.97437,0.98724,0.74366,0.96636,0.97257,0.98568,0.96792,0.95196,0.15706,0.00102,0.46941,0.81917,0.002542,0.002542,0.002542
228,2462.72,0.90178,0.24216,0.01587,0.43357,0.84775,0.96245,0.97049,0.98611,0.74732,0.96254,0.96878,0.98443,0.96888,0.93816,0.15558,0.00103,0.4656,0.81825,0.002509,0.002509,0.002509
229,2472.52,0.90857,0.23418,0.01625,0.431,0.85014,0.97305,0.9747,0.98715,0.74951,0.96984,0.9763,0.98642,0.97003,0.91491,0.15199,0.0011,0.42776,0.81665,0.002476,0.002476,0.002476
230,2484.57,0.90806,0.23893,0.01693,0.43192,0.84957,0.9705,0.97906,0.98809,0.74527,0.96929,0.97781,0.98784,0.97144,0.928,0.15282,0.00102,0.44384,0.81697,0.002443,0.002443,0.002443
231,2493.15,0.90287,0.24264,0.01444,0.435,0.84679,0.97603,0.97681,0.98846,0.74374,0.97492,0.97521,0.98805,0.96969,0.93782,0.15658,0.00114,0.44127,0.81891,0.00241,0.00241,0.00241
232,2505.05,0.91105,0.25218,0.0169,0.43783,0.84818,0.98061,0.97952,0.98885,0.74378,0.98016,0.97849,0.98886,0.96942,0.93087,0.15231,0.00106,0.43647,0.81778,0.002377,0.002377,0.002377
233,2515.2,0.90992,0.23394,0.01521,0.43399,0.84576,0.98162,0.97727,0.98932,0.74996,0.98085,0.97643,0.98995,0.97208,0.92453,0.15135,0.00096,0.44963,0.81651,0.002344,0.002344,0.002344
234,2525.92,0.89431,0.22685,0.01576,0.42751,0.84493,0.98101,0.97762,0.98877,0.75047,0.97868,0.97622,0.98735,0.97064,0.91993,0.15453,0.00102,0.45976,0.81738,0.002311,0.002311,0.002311
235,2535.27,0.91197,0.23937,0.01666,0.43584,0.84749,0.9716,0.98211,0.98743,0.74439,0.97074,0.98131,0.9883,0.96801,0.90603,0.15579,0.00098,0.45277,0.817,0.002278,0.002278,0.002278
236,2544.9,0.9029,0.23143,0.01506,0.42965,0.84771,0.98189,0.97823,0.98849,0.75128,0.98026,0.97656,0.9883,0.96921,0.9075,0.1534,0.00093,0.4489,0.81628,0.002245,0.002245,0.002245
237,2555.05,0.90563,0.24043,0.01712,0.43024,0.84607,0.98009,0.97577,0.98792,0.74949,0.97931,0.97493,0.98897,0.97232,0.91119,0.15153,0.00097,0.44191,0.81574,0.002212,0.002212,0.002212
238,2565.02,0.90149,0.24259,0.01782,0.43296,0.84562,0.97945,0.97788,0.98958,0.74936,0.97738,0.97579,0.98832,0.97255,0.92606,0.15166,0.00097,0.43373,0.81566,0.002179,0.002179,0.002179
239,2575.68,0.90824,0.25214,0.01627,0.43355,0.84554,0.9777,0.98079,0.98814,0.74524,0.97514,0.97895,0.98761,0.96925,0.94241,0.15818,0.00091,0.42936,0.81762,0.002146,0.002146,0.002146
240,2585.8,0.9009,0.24532,0.01465,0.43129,0.84468,0.97592,0.97761,0.98849,0.74304,0.97344,0.97511,0.9868,0.96879,0.93414,0.15695,0.00088,0.42163,0.81661,0.002113,0.002113,0.002113
241,2598.98,0.90155,0.24437,0.01573,0.42983,0.8474,0.96781,0.97985,0.98652,0.74806,0.96576,0.97776,0.98581,0.96879,0.93584,0.15476,0.00088,0.42227,0.81668,0.00208,0.00208,0.00208
242,2608.88,0.89868,0.23416,0.01518,0.42794,0.84437,0.97333,0.96905,0.98696,0.74971,0.97258,0.96723,0.98669,0.96937,0.91575,0.14968,0.00088,0.43083,0.81639,0.002047,0.002047,0.002047
243,2618.19,0.8982,0.23137,0.0157,0.42841,0.84339,0.97249,0.97153,0.98586,0.74555,0.97099,0.97068,0.98417,0.96822,0.9268,0.15079,0.00089,0.44325,0.81779,0.002014,0.002014,0.002014
244,2626.73,0.88272,0.22859,0.01617,0.42151,0.84529,0.96984,0.96675,0.98482,0.74744,0.96775,0.96463,0.98293,0.96717,0.9143,0.15034,0.00084,0.43555,0.81621,0.001981,0.001981,0.001981
245,2637.78,0.88893,0.22325,0.01412,0.42648,0.84803,0.97988,0.97559,0.99073,0.75133,0.97826,0.97396,0.9896,0.97399,0.9246,0.14998,0.00085,0.44494,0.81528,0.001948,0.001948,0.001948
246,2649.16,0.89394,0.23435,0.01685,0.42218,0.84646,0.97811,0.9735,0.98948,0.75203,0.97605,0.97141,0.98951,0.97299,0.91471,0.14977,0.00081,0.45441,0.8159,0.001915,0.001915,0.001915
247,2663.45,0.8982,0.24202,0.01573,0.42446,0.84284,0.97344,0.97385,0.98828,0.75073,0.97223,0.97259,0.98897,0.97157,0.92061,0.15199,0.00087,0.45555,0.81579,0.001882,0.001882,0.001882
248,2673.71,0.88933,0.22181,0.01463,0.42226,0.8409,0.97284,0.96516,0.98709,0.74837,0.97175,0.96385,0.9878,0.9697,0.91193,0.15139,0.00078,0.4601,0.81502,0.001849,0.001849,0.001849
249,2683.99,0.88825,0.22327,0.01651,0.41968,0.84396,0.97486,0.97108,0.98837,0.75025,0.97197,0.9716,0.98902,0.9706,0.9111,0.15395,0.00078,0.4798,0.81421,0.001816,0.001816,0.001816
250,2691.83,0.89818,0.22712,0.01549,0.42797,0.85088,0.97312,0.97312,0.98846,0.7534,0.97277,0.97094,0.98923,0.97163,0.90943,0.15164,0.00087,0.46713,0.8144,0.001783,0.001783,0.001783
251,2703.94,0.90084,0.24853,0.01531,0.42817,0.85086,0.9737,0.97704,0.98791,0.74974,0.97297,0.97431,0.98865,0.97137,0.92227,0.15346,0.00085,0.46247,0.8153,0.00175,0.00175,0.00175
252,2713.57,0.87733,0.21953,0.01651,0.41669,0.84213,0.97299,0.97773,0.98842,0.74898,0.97092,0.97564,0.98771,0.97011,0.92957,0.15118,0.00083,0.45742,0.81513,0.001717,0.001717,0.001717
253,2724.91,0.88529,0.23446,0.0154,0.41779,0.84065,0.9768,0.97663,0.98895,0.75106,0.97527,0.97539,0.98889,0.97167,0.92197,0.14925,0.00077,0.45698,0.81471,0.001684,0.001684,0.001684
254,2735.01,0.88072,0.22425,0.01617,0.41702,0.83981,0.97258,0.97321,0.98782,0.75057,0.97123,0.97205,0.98763,0.97163,0.91867,0.14952,0.00077,0.44871,0.81601,0.001651,0.001651,0.001651
255,2744.54,0.87588,0.22462,0.01581,0.41403,0.83914,0.97849,0.97316,0.98924,0.74961,0.97706,0.97185,0.98995,0.97257,0.92655,0.15256,0.00076,0.44905,0.81595,0.001618,0.001618,0.001618
256,2757.14,0.88302,0.23054,0.01449,0.41705,0.84079,0.97757,0.97461,0.98755,0.75043,0.97628,0.97377,0.98739,0.97076,0.91545,0.1514,0.00077,0.46205,0.81506,0.001585,0.001585,0.001585
257,2769.88,0.89564,0.23137,0.01554,0.4237,0.84547,0.97648,0.97779,0.98748,0.74978,0.97486,0.97612,0.98736,0.97083,0.92609,0.1519,0.00074,0.45262,0.81605,0.001552,0.001552,0.001552
258,2779.29,0.88108,0.22205,0.01634,0.41609,0.8446,0.97623,0.97304,0.98864,0.75053,0.97502,0.97178,0.98895,0.97067,0.92307,0.15103,0.00077,0.43877,0.81628,0.001519,0.001519,0.001519
259,2787.23,0.88102,0.22644,0.01557,0.41552,0.84146,0.97876,0.96783,0.98858,0.75205,0.97809,0.96765,0.98909,0.97189,0.91856,0.14774,0.00075,0.44936,0.81495,0.001486,0.001486,0.001486
260,2798.69,0.88302,0.22716,0.01484,0.41478,0.83963,0.974,0.98191,0.98894,0.75128,0.97279,0.98066,0.98897,0.97131,0.91697,0.14773,0.00076,0.44587,0.81511,0.001453,0.001453,0.001453
261,2811.08,0.8862,0.22856,0.01575,0.41718,0.83898,0.97411,0.9778,0.98798,0.7519,0.97305,0.97745,0.98845,0.97091,0.91175,0.14771,0.00075,0.4493,0.81468,0.00142,0.00142,0.00142
262,2822.75,0.88443,0.23134,0.01471,0.41763,0.84263,0.97444,0.97782,0.98859,0.75505,0.97286,0.97685,0.98872,0.97183,0.91795,0.14923,0.00069,0.45888,0.81589,0.001387,0.001387,0.001387
263,2834.53,0.88092,0.23471,0.01504,0.416,0.84105,0.97851,0.97841,0.98917,0.75532,0.97667,0.97702,0.98918,0.97316,0.92287,0.14895,0.0007,0.4645,0.81623,0.001354,0.001354,0.001354
264,2844.26,0.88627,0.22186,0.01412,0.4179,0.84258,0.97428,0.97795,0.98944,0.75405,0.96964,0.97925,0.98923,0.97245,0.91014,0.14718,0.00066,0.45915,0.81515,0.001321,0.001321,0.001321
265,2855.7,0.88764,0.22504,0.01537,0.41756,0.84197,0.97495,0.98201,0.98972,0.75055,0.97335,0.98034,0.9892,0.97127,0.90873,0.14661,0.0007,0.45008,0.81511,0.001288,0.001288,0.001288
266,2867.41,0.87537,0.21562,0.01495,0.41304,0.84148,0.97742,0.97953,0.98894,0.75082,0.97536,0.97744,0.98826,0.97113,0.91436,0.15131,0.00068,0.45139,0.81608,0.001255,0.001255,0.001255
267,2876.02,0.87957,0.2212,0.0155,0.41252,0.84173,0.97051,0.98009,0.98907,0.75011,0.96885,0.97935,0.98934,0.97119,0.91068,0.14738,0.00065,0.44499,0.81577,0.001222,0.001222,0.001222
268,2884.1,0.88029,0.21569,0.0159,0.41181,0.84175,0.96996,0.97505,0.98607,0.74785,0.96794,0.97495,0.98775,0.9696,0.91012,0.14698,0.00066,0.46043,0.81542,0.001189,0.001189,0.001189
269,2895.22,0.87543,0.22677,0.01489,0.41218,0.84116,0.97789,0.96688,0.98707,0.74878,0.97734,0.96603,0.98824,0.97143,0.92612,0.14833,0.00068,0.45334,0.81574,0.001156,0.001156,0.001156
270,2905.61,0.87766,0.23469,0.01629,0.41349,0.8417,0.97132,0.97171,0.98636,0.75139,0.97262,0.96854,0.98785,0.9714,0.91494,0.14541,0.00065,0.45958,0.81494,0.001123,0.001123,0.001123
271,2916.99,0.87631,0.22233,0.01514,0.41554,0.84055,0.97363,0.97317,0.98679,0.75357,0.97253,0.97182,0.98703,0.97042,0.91284,0.14698,0.00065,0.44907,0.81506,0.00109,0.00109,0.00109
272,2929.2,0.8707,0.21851,0.01459,0.40645,0.84002,0.97366,0.97484,0.98784,0.75215,0.97356,0.97495,0.98883,0.97255,0.91641,0.14784,0.00065,0.43694,0.81563,0.001057,0.001057,0.001057
273,2941.42,0.86651,0.21689,0.014,0.40574,0.83861,0.97471,0.97585,0.98794,0.75126,0.97412,0.97558,0.98917,0.97224,0.91703,0.15264,0.00066,0.44877,0.81472,0.001024,0.001024,0.001024
274,2952.93,0.87378,0.22625,0.01617,0.41086,0.84309,0.97116,0.97704,0.98825,0.7534,0.97079,0.97662,0.98884,0.9732,0.9168,0.14752,0.00068,0.43726,0.81581,0.000991,0.000991,0.000991
275,2964.37,0.86945,0.21647,0.01511,0.41035,0.84243,0.97251,0.97467,0.98801,0.75277,0.97172,0.97383,0.98842,0.97331,0.91577,0.14693,0.00064,0.43409,0.81557,0.000958,0.000958,0.000958
276,2972.29,0.87141,0.22553,0.01396,0.40926,0.83929,0.97332,0.97564,0.98765,0.74827,0.97169,0.97545,0.98874,0.97097,0.92824,0.14966,0.00061,0.43388,0.81645,0.000925,0.000925,0.000925
277,2982.21,0.86757,0.21113,0.0146,0.40522,0.84194,0.96933,0.97705,0.98822,0.75193,0.96866,0.97547,0.98883,0.97164,0.92299,0.14722,0.00063,0.4337,0.81642,0.000892,0.000892,0.000892
278,2994.44,0.87332,0.22114,0.01484,0.40825,0.84078,0.9686,0.97682,0.98804,0.75409,0.96765,0.9745,0.98752,0.97064,0.91718,0.14788,0.00062,0.43374,0.81523,0.000859,0.000859,0.000859
279,3003.62,0.87055,0.22225,0.01719,0.40828,0.84293,0.97701,0.97639,0.98777,0.75331,0.97537,0.97472,0.98741,0.97056,0.9173,0.1496,0.00065,0.43626,0.81508,0.000826,0.000826,0.000826
280,3013.15,0.86792,0.21295,0.01485,0.40874,0.84326,0.97794,0.97086,0.98806,0.74873,0.97658,0.96802,0.98751,0.96994,0.92504,0.15044,0.00061,0.44031,0.81552,0.000793,0.000793,0.000793
281,3024.23,0.8795,0.21145,0.01441,0.41049,0.84154,0.97395,0.97642,0.98808,0.74996,0.97217,0.9747,0.98773,0.96968,0.9284,0.15042,0.00059,0.42902,0.8163,0.00076,0.00076,0.00076
282,3037.09,0.86702,0.21428,0.01453,0.40726,0.83905,0.97182,0.97522,0.98626,0.74848,0.97197,0.97417,0.98683,0.96999,0.92604,0.1494,0.00061,0.43792,0.81519,0.000727,0.000727,0.000727
283,3048.85,0.8571,0.21054,0.01462,0.40177,0.84085,0.97081,0.97391,0.98681,0.74923,0.9701,0.97191,0.98697,0.97096,0.92632,0.15122,0.00057,0.44552,0.81501,0.000694,0.000694,0.000694
284,3060.09,0.86563,0.21673,0.01512,0.40515,0.84087,0.97251,0.97136,0.98651,0.75094,0.97128,0.9701,0.98696,0.97073,0.91842,0.1493,0.00057,0.44274,0.81443,0.000661,0.000661,0.000661
285,3068.49,0.85819,0.20442,0.01407,0.4016,0.83794,0.97055,0.97276,0.98772,0.75208,0.96813,0.97099,0.98738,0.97064,0.92118,0.14886,0.00055,0.45749,0.8145,0.000628,0.000628,0.000628
286,3076.01,0.86871,0.21793,0.01592,0.4077,0.83907,0.97439,0.97349,0.987,0.75118,0.97318,0.97224,0.98817,0.97095,0.91928,0.1504,0.00058,0.45229,0.81552,0.000595,0.000595,0.000595
287,3088.27,0.85967,0.21219,0.0143,0.40399,0.83939,0.97804,0.97602,0.98775,0.75256,0.97726,0.97519,0.98903,0.9716,0.91726,0.14838,0.00057,0.44493,0.81495,0.000562,0.000562,0.000562
288,3099.91,0.86809,0.22294,0.01485,0.40796,0.84055,0.97372,0.98163,0.98795,0.75292,0.97208,0.97996,0.9883,0.9712,0.92178,0.14973,0.00054,0.45095,0.81588,0.000529,0.000529,0.000529
289,3109.64,0.85947,0.21125,0.01269,0.40007,0.83595,0.97681,0.97645,0.98807,0.75071,0.97559,0.97519,0.98815,0.97143,0.9217,0.14914,0.00054,0.45031,0.81549,0.000496,0.000496,0.000496
290,3119.76,0.85503,0.2182,0.0146,0.39846,0.83722,0.97477,0.97459,0.98801,0.75365,0.97498,0.97198,0.989,0.97186,0.91801,0.14866,0.00055,0.4489,0.81526,0.000463,0.000463,0.000463
291,3142.33,0.87511,0.18991,0.00229,0.41843,0.85117,0.96725,0.97051,0.98835,0.74235,0.96605,0.96926,0.98767,0.9713,0.93543,0.15383,0.00052,0.44646,0.81808,0.00043,0.00043,0.00043
292,3163.68,0.85446,0.17706,0.00179,0.3987,0.84913,0.97161,0.96818,0.98876,0.73819,0.96962,0.96606,0.98835,0.97012,0.94432,0.15688,0.0005,0.45073,0.81852,0.000397,0.000397,0.000397
293,3177.16,0.83248,0.17211,0.00189,0.38724,0.84446,0.96633,0.97457,0.98831,0.73953,0.96426,0.97248,0.98784,0.9691,0.93085,0.15167,0.00049,0.46161,0.81681,0.000364,0.000364,0.000364
294,3190.57,0.83341,0.17565,0.00179,0.38377,0.84459,0.96876,0.9713,0.98773,0.74386,0.96671,0.96921,0.98773,0.96895,0.9226,0.15196,0.00049,0.47403,0.81611,0.000331,0.000331,0.000331
295,3203.81,0.83082,0.17777,0.00191,0.38477,0.84658,0.97759,0.963,0.98702,0.74451,0.97628,0.96178,0.98719,0.96798,0.91359,0.14965,0.0005,0.471,0.81585,0.000298,0.000298,0.000298
296,3215.73,0.82808,0.16938,0.00188,0.38191,0.84475,0.96887,0.97927,0.98703,0.74488,0.96767,0.97802,0.98767,0.96842,0.9182,0.15295,0.00049,0.47054,0.81574,0.000265,0.000265,0.000265
297,3224.78,0.82759,0.1721,0.00173,0.38185,0.84399,0.97147,0.97827,0.98803,0.74493,0.96942,0.97618,0.98806,0.96923,0.92135,0.15118,0.00049,0.4631,0.81537,0.000232,0.000232,0.000232
298,3230.26,0.82851,0.17008,0.00199,0.38156,0.84308,0.97412,0.97587,0.98822,0.74645,0.97164,0.97336,0.98803,0.96965,0.9274,0.1508,0.00049,0.46716,0.81582,0.000199,0.000199,0.000199
299,3242.83,0.82878,0.17076,0.0016,0.3829,0.84515,0.97891,0.97279,0.98808,0.74658,0.97664,0.97017,0.98787,0.96963,0.92398,0.15187,0.0005,0.47168,0.81619,0.000166,0.000166,0.000166
300,3254.67,0.82897,0.16838,0.00148,0.38319,0.8454,0.97865,0.97197,0.98775,0.74687,0.97699,0.9703,0.9884,0.97017,0.92084,0.1511,0.00049,0.46701,0.81602,0.000133,0.000133,0.000133
